universe,feature,horizon,n_days_full,mean_ic_full,tstat_full,pct_pos_full,mean_spread_full,mean_ic_disc,tstat_disc,ic_2021_2023_disc,ic_2024_2026_disc,dir_stable_disc,verdict,holdout
U1,F5_taker_buy_ratio_extreme,5,1979,0.004946046974560714,1.2085395635078844,51.08640727640223,0.0030644579644691513,0.0050032110644185465,1.0544763825956673,-0.006111091018813624,0.01649446275581789,False,GAGAL,-
U1,F5_taker_buy_ratio_extreme,10,1974,0.004982001555098957,1.1898736000007608,51.97568389057751,0.0053099821549215335,0.004543854114523356,0.9367559421716488,-0.0010183126473994777,0.010324370398091916,False,GAGAL,-
U1,F5_taker_buy_ratio_extreme,20,1964,0.009989964405454847,2.383881204228899,52.189409368635445,0.007106075211250248,0.006944598175758302,1.4474425942485913,0.0013488153152176484,0.012820754290271763,True,GAGAL,-
U2,F1_taker_buy_ratio,5,2068,0.0030785925307770944,1.1540258879032244,51.01547388781431,0.0014766228422823837,0.009383152854200251,3.0687389590335723,0.014313056945840657,0.003835110736680989,True,GAGAL,-
U2,F1_taker_buy_ratio,10,2063,0.009433572334533492,3.472761109082773,52.73873000484731,0.0035891758893165505,0.012916269456501837,4.105681908106084,0.016006245544727633,0.009420893612899309,True,GAGAL,-
U2,F1_taker_buy_ratio,20,2053,0.014186352505208742,5.185428587688983,53.96980029225523,0.005158588879910881,0.01667431970462023,5.391230633257209,0.017166614332358585,0.016111623861850406,True,GAGAL,-
U2,F2_avg_trade_size_pct,5,1979,-0.02112894733943468,-6.745850023384265,43.20363820111167,-0.00014032383891967736,-0.0171079258746165,-4.810410593052757,-0.027729566089648182,-0.006126045035642324,True,GAGAL,-
U2,F2_avg_trade_size_pct,10,1974,-0.017190146852436996,-5.636356701107474,45.845997973657546,-0.0007669583057702049,-0.011267473810304504,-3.287949551007258,-0.021570707402366596,-0.0005597744367358406,True,GAGAL,-
U2,F2_avg_trade_size_pct,20,1964,-0.019157248408952485,-6.348315626864342,43.32993890020367,-0.0012297615498076697,-0.01250903304943141,-3.671079869492279,-0.024033843299090245,-0.00040677927995668437,True,GAGAL,-
U2,F3_trade_intensity,5,2049,-0.02333284274093266,-7.068229785466718,43.48462664714495,0.0014077811752209782,-0.018220197732102365,-4.866281592125389,-0.028775458086822966,-0.006547576825957083,True,GAGAL,-
U2,F3_trade_intensity,10,2044,-0.017003531304298138,-5.143568779196613,44.37377690802348,0.0013693441861922983,-0.015523911445096943,-4.089619989123366,-0.026648500816956106,-0.003158148878856795,True,GAGAL,-
U2,F3_trade_intensity,20,2034,-0.005036842548410992,-1.5789076757951488,47.640117994100294,0.00359382403475305,-0.0034261603175979117,-0.9455885391696303,-0.012573612789947232,0.006848013858026165,False,GAGAL,-
U2,F4_flow_divergence,5,1232,0.0043207141115197654,0.8310606382949813,50.16233766233766,0.0028748455341000836,0.014200319367729152,2.312463416756167,0.024269145447749406,0.006746772789012859,True,GAGAL,-
U2,F4_flow_divergence,10,1230,0.0030296462835301204,0.579698195453894,49.75609756097561,0.0026470932962075035,0.010327554578391475,1.6690626506952042,0.016111853522503865,0.0060317234407444905,True,GAGAL,-
U2,F4_flow_divergence,20,1222,-0.0015776613040410189,-0.2990042116553209,47.62684124386252,0.0007875266189384176,-0.0007870369441120825,-0.12544318900604548,0.011146136527927411,-0.009736917048141704,False,GAGAL,-
U2,F5_taker_buy_ratio_extreme,5,1979,-0.006934657848108242,-2.507192074610889,47.043961596766046,0.0010406587853629633,-0.0031274040163439287,-0.9882496988006124,-5.663084477398389e-05,-0.0063023246849969235,True,GAGAL,-
U2,F5_taker_buy_ratio_extreme,10,1974,-0.0029214425687878417,-1.0437320842456832,49.442755825734544,0.0026650265989399,-0.0021440509450001855,-0.6666268916525714,-0.0004987976177086579,-0.0038538906632391056,True,GAGAL,-
U2,F5_taker_buy_ratio_extreme,20,1964,-0.0011516070627081067,-0.4156715759564905,48.676171079429736,0.004101649881159133,-0.0012598105349490387,-0.40696191644987795,-6.971942455548785e-05,-0.0025095304274917424,True,GAGAL,-
