symbol,signal_date,regime_status,total_score,grade,s_volume,s_stochrsi,s_fib,s_sr,s_pattern,plan_entry,plan_sl,plan_tp1,plan_tp2,plan_rr1,status,fill_date,fill_price,exit_date,exit_type,bars_held,pnl_r,win,source
AIUSDT,2025-05-02 00:00:00+00:00,HIJAU,32,C,5,3,8,4,12,0.14880870000000002,0.124690302,0.2,0.2324904,2.12,filled,2025-05-04 00:00:00+00:00,0.14880870000000002,2025-05-30 00:00:00+00:00,TP1_BE,26.0,1.0411488865398524,True,system
AIUSDT,2025-05-31 00:00:00+00:00,HIJAU,39,C,5,15,15,4,0,0.1445,0.12621569400000002,0.2,0.2416488,3.04,filled,2025-06-01 00:00:00+00:00,0.1445,2025-06-13 00:00:00+00:00,SL,12.0,-1.0222093572024544,False,system
AIUSDT,2025-06-14 00:00:00+00:00,HIJAU,33,C,5,12,9,0,7,0.1231,0.10232128549889238,0.2,0.23845000000000002,3.7,filled,2025-06-15 00:00:00+00:00,0.1231,2025-06-22 00:00:00+00:00,SL,7.0,-1.0162734955325337,False,system
AIUSDT,2025-06-23 00:00:00+00:00,HIJAU,35,C,8,15,12,0,0,0.113,0.09444901069858631,0.1678728,0.1953092,2.96,filled,2025-06-24 00:00:00+00:00,0.113,2025-07-24 00:00:00+00:00,TP1_TIMEOUT,30.0,1.937520041880515,True,system
AIUSDT,2025-07-25 00:00:00+00:00,HIJAU,32,C,8,3,15,6,0,0.1279197,0.11052736199999999,0.16685,0.1875024,2.24,filled,2025-07-29 00:00:00+00:00,0.1279197,2025-08-28 00:00:00+00:00,TIMEOUT,30.0,0.12033009536440943,True,system
AIUSDT,2025-08-29 00:00:00+00:00,HIJAU,27,C,8,3,8,1,7,0.1158804,0.10953199999999999,0.14024999999999999,0.1527768,3.84,cancelled,,,,,,,,system
AIUSDT,2025-09-11 00:00:00+00:00,HIJAU,32,C,8,3,15,6,0,0.1455,0.137703,0.16685,0.22502640000000002,2.74,filled,2025-09-12 00:00:00+00:00,0.1455,2025-09-15 00:00:00+00:00,SL,3.0,-1.0544835704116908,False,system
AIUSDT,2025-09-17 00:00:00+00:00,HIJAU,58,C,15,3,20,20,0,0.1421,0.137703,0.16685,0.22502640000000002,5.63,filled,2025-09-18 00:00:00+00:00,0.1421,2025-09-19 00:00:00+00:00,SL,1.0,-1.0954529675915268,False,system
AIUSDT,2025-09-20 00:00:00+00:00,HIJAU,63,B,15,8,20,20,0,0.1428,0.137703,0.16685,0.22502640000000002,4.72,filled,2025-09-21 00:00:00+00:00,0.1428,2025-09-22 00:00:00+00:00,SL,1.0,-1.0825499408475523,False,system
AIUSDT,2025-09-27 00:00:00+00:00,HIJAU,48,C,15,15,12,6,0,0.1211,0.11435849999999999,0.1403,0.1677632,2.85,filled,2025-09-28 00:00:00+00:00,0.1211,2025-09-30 00:00:00+00:00,SL,2.0,-1.0523905838092364,False,system
AIUSDT,2025-10-01 00:00:00+00:00,HIJAU,36,C,15,5,15,1,0,0.1223,0.11435849999999999,0.1403,0.1677632,2.27,filled,2025-10-02 00:00:00+00:00,0.1223,2025-10-10 00:00:00+00:00,SL,8.0,-1.044700839986145,False,system
AIUSDT,2025-11-02 00:00:00+00:00,HIJAU,32,C,5,3,8,4,12,0.0559308,0.03622114155527336,0.1039,0.12788460000000001,2.43,filled,2025-11-04 00:00:00+00:00,0.0559308,2025-12-04 00:00:00+00:00,TIMEOUT,30.0,-0.5774707789746201,False,system
AIUSDT,2025-12-05 00:00:00+00:00,HIJAU,42,C,15,12,15,0,0,0.0434,0.037030356,0.0740112,0.0893168,4.81,filled,2025-12-06 00:00:00+00:00,0.0434,2025-12-15 00:00:00+00:00,SL,9.0,-1.0189412028085079,False,system
AIUSDT,2025-12-17 00:00:00+00:00,HIJAU,24,C,5,3,9,0,7,0.0358,0.03024890511672082,0.0673,0.08305,5.67,filled,2025-12-18 00:00:00+00:00,0.0358,2026-01-17 00:00:00+00:00,TIMEOUT,30.0,1.3656862311677276,True,system
AIUSDT,2026-01-18 00:00:00+00:00,HIJAU,37,C,20,8,5,4,0,0.0377616,0.03546,0.05238720000000001,0.05970000000000002,6.35,filled,2026-01-19 00:00:00+00:00,0.0377616,2026-01-20 00:00:00+00:00,SL,1.0,-1.0477205208550542,False,system
AIUSDT,2026-01-24 00:00:00+00:00,HIJAU,48,C,15,15,12,6,0,0.0353,0.0328005,0.04735,0.053375000000000006,4.82,filled,2026-01-25 00:00:00+00:00,0.0353,2026-01-26 00:00:00+00:00,SL,1.0,-1.040868973694739,False,system
